,product_id,product_name,reviewer,rating,review_date,advantages,disadvantages,comment,purchase_state
6892,135895113,Блузка боди с длинным рукавом,Светлана,1,"03 декабря 2023, 19:48",,,Маломер,
1793,183948489,Подарочный набор бокалов с надписью,Алёнка,1,"09 апреля, 20:00",,,Пришли разбитые. Очень жаль,Отказались
10610,35778729,"Жиросжигатель для похудения капсулы, БАД",Ирина,1,"Сегодня, 13:15",,"Не работает, чушь... Поправилась ещё больше, при физической нагрузке.",,Выкупили
12389,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Наталья,1,"06 марта, 17:29",,Пришел разбитый стакан(,,Отказались
9410,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Виктория,1,"18 июня, 05:29",вкусно пахнет,"пришел пролитый, масло было открытое",,Выкупили
3488,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Валерия,1,"19 июня, 01:14",,Все пакеты бракованные,"Вакумировала зимние вещи и убрала , потом приношу партию а все пакеты набрали воздуха , а пакеты другого продавца который год туда сюда пользуемся и держат . Просто деньги на ветер ((",Выкупили
1620,183948489,Подарочный набор бокалов с надписью,Надежда,1,"13 мая, 19:42",,Разбит бокал,"Я в расстройстве,в я печали((( не совпали реальность и ожидаемое((( пошла на именины без подарка. Продавцы, почему отправляя хрупкое стекло,вы ничем внутри не упаковываете дополнительно?я только взяла коробку в руки,уже слышала как внутри коробки перекатывалось стекло(((
.... сама надпись красивая, бокалы тоже большие,все было бы супер..но увы...",Отказались
10586,35778729,"Жиросжигатель для похудения капсулы, БАД",Вероника,1,"Сегодня, 15:40",,,"Отеки, аллергия",Выкупили
11951,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Людмила,1,"23 марта, 14:39",,,"Брала на подарок, а коробка порвана. Бокалы даже смотреть не стала, так как дарить в таком виде в любом случае не стала бы.",Отказались
12079,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Екатерина,1,"16 марта, 03:45",,"Все разбитые,упаковка вообще никакая,просто коробка.Заказала в другом месте,там всё в пупырку замотано",,Отказались
8275,28923876,Блузка базовая,Ольга,1,"23 июня, 14:23",Ничего,"Цвет не соответствует заявленному, а также большемерит.",Продавец отказывает в возврате товара. Данного продавца не рекомендую 👎👎👎,Выкупили
10735,35778729,"Жиросжигатель для похудения капсулы, БАД",Юлия,1,"Вчера, 22:23",Быстро пришло,На второй день поднялся неконтролируемый аппетит.короче только набрала лишнее(((,Не рекомендую,Выкупили
9146,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Оксана,1,"22 июня, 20:05",Ничего,"Воняет старым маслом, слишком жидкое, с задачей не справляется, при попадании на глаза образуется пелена, с манго больше понравился",,Выкупили
11577,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Воробьёва Елена,1,"29 мая, 19:25",,,Приехали разбитые. Отказ.,Отказались
7573,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Тамара,1,"20 июня, 20:24",,"Пришел в плохом состоянии все растеклось, вернуть на  ПВЗ  сразу нельзя.",,Выкупили
3449,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Мария,1,"21 июня, 12:38",,"Почти все пакеты набрали воздух обратно. Два пакета в тесении часа надулись, остальные какое то время продержались и тоже начали пропускать. Не рекомендую.",,Выкупили
3070,3932186,Мультибокс для овощерезки «Практика»,Марина,1,"31 января, 18:46",,"Упаковано плохо , вскрыто , сомнения что оригинал",,Выкупили
8800,28923876,Блузка базовая,Лика,1,"26 мая, 19:58",,Не тот цвет совершенно! Отказ.,Будбте внимательны к соответствию товара и фото!!!,Отказались
4104,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Жанна,1,"15 мая, 11:51",Ничего,Из пяти пакетов 3 (три!) оказались бракованные,"Регулярно пользуюсь вакуумными пакетами, но здесь... что-то с чем-то... Сам материал очень жёсткий, места сгибов просто спаянные!!! Не прилипшие в результате сложения, а именно запаянные! Их невозможно отсоединить, появляются дырки! Это просто вредительство какое-то, сказать, что я возмущена и расстроена - ничего не сказать! Производители, что вы поставляете?! 
У этой ""фирмы"" взяла пакеты первый и последний раз!",Выкупили
9100,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Наталья,1,"23 июня, 14:19",Не понравилось,Запах и эффекта ни кого,,Выкупили
326,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Татьяна,1,"10 июня, 12:32",Джинсы сами по себе ни чего такие,"А вот запах от них, просто ужас. После двух стирок запах не исчез вообще. Пришлось выбросить",К покупке не советую.,Выкупили
1227,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Татьяна,1,"21 июня, 09:48",Упаковка,Протекают,"Очень быстро наполняются, протекают , ребенок новорождённый раза два пописает и уже подгузник полный",Отказались
7030,135895113,Блузка боди с длинным рукавом,Татьяна,1,"27 июля 2023, 18:45",,,"Заказала модель (первое фото), получила на втором фото. Размер далеко не тот, который был заказан. К тому же короткий, даже застегнуть не смогла. Печально, однако...",
12428,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Мариана,1,"05 марта, 21:51",,Приехали вдребезги в коробке,"Так ждала, расстроилась, коробку даже не открывали там было слышно как стекло дребежит и звенит((((",Отказались
12287,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Екатерина,1,"08 марта, 15:51",,,Пришел разбитый,Выкупили
5738,142199442,Емкость для сыпучих продуктов баночки c наклейками,Елена,1,"27 марта, 17:27",Отвратительно,"Прислали совсем не то что заказывала, этот  товар только на помойку, отвратительный продавец, не рекомендую ничего у него заказывать . Верните мои деньги",,Выкупили
2665,3932186,Мультибокс для овощерезки «Практика»,Лариса,1,"12 апреля, 16:41",,,"Покупала в подарок. А терка упакована в пупырку. Уважающая себя фирма не будет поставлять товар без надлежащей упаковки. Сомнительно, что это ""Бернер"" Отказ.",Отказались
9778,35778729,"Жиросжигатель для похудения капсулы, БАД",Покупатель Wildberries,1,"Вчера, 22:22",,Не помогают,,Выкупили
12046,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Наталья,1,"17 марта, 14:55",,Пришли бокалы разбитые( возврат(,,Отказались
11545,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Надежда,1,"04 июня, 11:13",ну ничего,пришло разбитое,"возврат, пришел быстро , но разбито",Отказались
6637,135895113,Блузка боди с длинным рукавом,Анастасия,1,"25 апреля 2024, 15:39",,,Пришел с браком😢,
9475,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Алиса Дедюрина,1,"17 июня, 04:25",приятно пахнет,"текстура непонятная, на гидрофильное масло совсем не похожа. после двух применений на лице появилось много болючих воспалений,прыщей, чего у меня до этого никогда не было.",,Выкупили
6955,135895113,Блузка боди с длинным рукавом,Алла,1,"23 октября 2023, 14:48",,,"Низкое качество как материала, так и пошива, такое ощущение, что шили где-то в подвале, швы не ровные, сетка на рукавах, как накомарники, материал тонкий и не тянется. Поэтому не рекомендован к покупке.",
3310,3932186,Мультибокс для овощерезки «Практика»,Наталья,1,"26 декабря 2024, 10:33",,,,Выкупили
9450,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Снежанна,1,"17 июня, 13:39",,"Масло было открыто, все вытекло…",,Выкупили
12261,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,марина,1,"09 марта, 09:50",,После первого применения стерлись буквы,Интересно почему об этом никто не пишет,Выкупили
6458,135895113,Блузка боди с длинным рукавом,Екатерина,1,"22 ноября 2024, 15:35",,выглядит как дешёвый мешок,,
1409,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Доктор Субхан,1,"19 июня, 00:22",Не очень протекает,,,Выкупили
267,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Алена,1,"13 июня, 14:29",,пришли не того развера и цвета,,Выкупили
3478,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Константин,1,"19 июня, 19:16",,Пакеты вакум не держат!!!,Как вернуть товар и предоставить доказательства не представляю,
5770,142199442,Емкость для сыпучих продуктов баночки c наклейками,Дарья,1,"24 марта, 17:45",,,"Пришли одна банка разбитая ,перезаказала с  ***  и то все стекло довозят",Отказались
10775,35778729,"Жиросжигатель для похудения капсулы, БАД",Наталья,1,"Вчера, 19:01",,Не правда то что заявлено продавцом,,Выкупили
1774,183948489,Подарочный набор бокалов с надписью,Виктория,1,"11 апреля, 15:35",,,"Мало того,что хоупкий товар никак не упаковали внутри ,так еще и один бокал со сломанной ножкой ,а вовщрат еслм и одобрят , то в течении 10 дней и больше , человек без подарка ,перевозка может и от вб , по упаковка товара такая безолаберная - косяк продавца,жду одобрения на заявку ,тначе я буду обращаться в роспотребнадзор,я деньги не печатаю покупать битый товар",Вернули
1717,183948489,Подарочный набор бокалов с надписью,Марина Крылова,1,"20 апреля, 14:27",,Без подарочной коробки!!!! Не соответствие описанию,,Отказались
3463,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Екатерина,1,"20 июня, 14:39",,,Продержались 3 дня ‼️,Выкупили
4311,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Сергей,1,"04 мая, 22:32",Ничего не понравилось,Сдулись(,.........,Выкупили
3398,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Покупатель Wildberries,1,"Вчера, 23:53",Вакум не держит,,,Выкупили
12172,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Екатерина,1,"12 марта, 16:44",,"Товар пришёл полностью разбитый. Опознавательных знаков, что ""хрупкое"" не было. Видимо товар пинали все кому ни лень. Очень расстроена .",,
5820,142199442,Емкость для сыпучих продуктов баночки c наклейками,Татьяна,1,"18 марта, 06:49",Пришёл с задержкой на две недели.,,,Отказались
6810,135895113,Блузка боди с длинным рукавом,Анастасия,1,"11 января 2024, 15:07",,,"Заказывала специально на размер больше, но даже застегнуть не смогла. На фото красивая линия декольте, а в реальности все закрыто (ощущение, что ошиблись с маркировкой товара - хотя длина рукава и по плечам норм; или фото где-нибудь стянули, а пошить такую модель грамотно не смогли 🤷🏼‍♀️)",
3722,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Жанна,1,"04 июня, 13:03",,"Ни один пакет не функционирует, через час раздувается,брак",,Выкупили
9793,35778729,"Жиросжигатель для похудения капсулы, БАД",Екатерина,1,"Вчера, 21:01",,Не работает совсем,,Выкупили
6034,142199442,Емкость для сыпучих продуктов баночки c наклейками,Николай,1,"25 февраля, 08:50",Понравилась отличное Павел обслужил на высшем уровне своей вежливости и вниманием можно предоставить его к премии,,,Выкупили
