,product_id,product_name,reviewer,rating,review_date,advantages,disadvantages,comment,purchase_state
1932,183948489,Подарочный набор бокалов с надписью,Любовь,1,"21 марта, 18:56",,"Коробка вся рваная, бокал один колотый",,Вернули
8822,28923876,Блузка базовая,Ирина,1,"25 мая, 11:05",,,"Цвет не красный, а кирпичный",Выкупили
2304,183948489,Подарочный набор бокалов с надписью,Виктория,1,"07 марта, 13:25",,"Заказывала на подарок.У одного бокала сломана ножка, вообще не упаковывают нормально товар.",,Отказались
5419,142199442,Емкость для сыпучих продуктов баночки c наклейками,Михаил,1,"08 мая, 20:23",,,пришли все битые не советую,Отказались
2039,183948489,Подарочный набор бокалов с надписью,Оксана,1,"16 марта, 05:18",,,"Пришли разбитые, пришлось перезаказывать. Очень жаль",Отказались
1602,183948489,Подарочный набор бокалов с надписью,Маргарита,1,"20 мая, 04:57",,,"Всё отлично, рекомендую!",Выкупили
4273,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Александра,1,"06 мая, 13:11",Был упакован в обычный пакет и сверху прорезан на сквозь,,,Отказались
8428,28923876,Блузка базовая,Евгения,1,"15 июня, 12:18","Блузка пришла чуть другого цвета,  я не заметила,  открыта перед камерой,  оказалось мала.  Продавец отказалась принять назад из-за цвета.  На каком основании? Полнейшее безобразие,  если мала почему я должна покупать?","Не соответствует размеру,  цвет немного другой,  я бы взяла если бы подошла по размеру.","Моё мнение у них видно по любому надо впихивать товар,  даже если мало.",Вернули
8576,28923876,Блузка базовая,Элла,1,"08 июня, 20:33",Невозможно даде надеть-ужасная синтетика,,,Отказались
9576,35778729,"Жиросжигатель для похудения капсулы, БАД",мария,1,"Сегодня, 20:10",,"Принимаю две недели,есть хочется ещё больше,набрала вес,хотя не ем сладкое,мучное, жареное и много хожу,делаю зарядку.",,Выкупили
8049,10147914,Офисная базовая блузка,Покупатель Wildberries,1,"Сегодня, 09:14",,,"Блузка пришла неопрятная. Её или носили или она уже замеренная до такого состояния, что мерить её не хочется. Такие вещи нужно уже списывать, а не отправлять людям.",Отказались
1933,183948489,Подарочный набор бокалов с надписью,Елена,1,"21 марта, 17:05",,,"Бокалы пришли битые😭
И именинник остался без подарка🤕",Отказались
4374,160599645,Весы напольные электронные с приложением для дома 180 кг,Дмитрий,1,"Сегодня, 19:16 • Дополнен",,,"Весы возвращены обратно из-за некорректной работы, а именно точность взвешивания.",Выкупили
171,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Зарина,1,"17 июня, 20:25","Внимательно проверяйте качество пошива. Я выкупила, тк подошёл размер и не носила пару недель, когла дршло до них дело-внутри заметила толстые швы, вызывают дискомфорт .Оформила возврат, продавец отклонил ! Вб естественно тут не поможет,ответили, что все проверили. Только как они проверили? Я им эту вещь в руки не давала, больше фото не запрашивали.",Неудобные внутри швы,,Выкупили
7706,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Виталий,1,"19 июня, 12:18",,Пришло разбитая бутылка. За возврат не вернули деньги,,Выкупили
2338,183948489,Подарочный набор бокалов с надписью,Покупатель Wildberries,1,"06 марта, 20:17","Ничего хорошего.
Пришли битые!!!!",,,Отказались
11576,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Таня,1,"29 мая, 19:37",,Прислали абсолютно другой товар. С одним бокалом. Оформили возврат,,Отказались
1363,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Ольга,1,"19 июня, 17:52",,"Разрезаны и пленка и сама упаковка, подгузники открыты",,Отказались
1506,183948489,Подарочный набор бокалов с надписью,Надежда,1,"04 июня, 11:13",ну ничего,пришло разбитое,"возврат, пришел быстро , но разбито",Отказались
4021,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Татьяна,1,"20 мая, 12:18",,,"Просто ужасно, запечаталось всего 3 средних пакета. Насос шумит, но не забирает воздух. Пришлось сдувать пылесосом. Просто так хотелось насос взять в дорогу. Очень разочарована. Хотя там был один негативный отзыв, надеялась, что исправили. Испорченное настроение.",Выкупили
162,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Маргарита,1,"18 июня, 06:25",,,Не соответствует размеру,Отказались
8961,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Лена,1,"Вчера, 18:07",,"Был большой заказ в доставке,этого средства не оказалось !",,Выкупили
2350,183948489,Подарочный набор бокалов с надписью,Наталья,1,"06 марта, 17:29",,Пришел разбитый стакан(,,Отказались
12298,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Наталия,1,"08 марта, 11:24",,Пришли битые,,Отказались
9270,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Татьяна,1,"20 июня, 15:03",,"Дата срока годности на упаковке , упаковка не запечатана как положено , сомневаюсь , что не просрочка",,Выкупили
9065,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Покупатель Wildberries,1,"24 июня, 07:27",Ничего,"Жидкий, после умывания на руках остаётся жирность.",Зря потратила деньги .,Выкупили
6665,135895113,Блузка боди с длинным рукавом,Марина,1,"21 марта 2024, 08:23",,,"Качество ткани ужасная синтетика. Как оно упаковано было просто молчу , жаль не сфотографировала. Даже сотрудник пвз в шоке был . Давно придумали зип пакеты для этого",
1482,183948489,Подарочный набор бокалов с надписью,Юлия,1,"11 июня, 07:51",,Приехали на пункт выдачи разбитые,,Отказались
9628,35778729,"Жиросжигатель для похудения капсулы, БАД",Вероника,1,"Сегодня, 15:38",,,"Непереносимость . Отеки, аллергия",Выкупили
2133,183948489,Подарочный набор бокалов с надписью,Екатерина,1,"12 марта, 16:44",,"Товар пришёл полностью разбитый. Опознавательных знаков, что ""хрупкое"" не было. Видимо товар пинали все кому ни лень. Очень расстроена .",,
3512,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Покупатель Wildberries,1,"17 июня, 13:09",Вообще не понравилось не держать вакум,,,Выкупили
8685,28923876,Блузка базовая,Татьяна,1,"03 июня, 22:16",,"Прислали совершенно  другой цвет. Заказала голубой, а прислали какой-то фиолетовый.",,Отказались
2766,3932186,Мультибокс для овощерезки «Практика»,Наталья,1,"20 марта, 19:11 • Дополнен",,,"Пришла явная подделка.Вставка не держится в основной раме,выпадает.Сама рама очень хлипкая,посильнее надавишь сломается!!!Ни на лезвие ни на раме нет надписи. berner.Рама очень лёгкая.У меня есть терка данной марки.(Эту купила в подарок дочери)Мне есть с чем сравнить.Полнейшее разочарование в продавце!!!!",Выкупили
7450,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Евгения,1,"22 июня, 09:09",,Брак,Пришёл разбитый,
8508,28923876,Блузка базовая,Ольга,1,"11 июня, 17:27",,,"Либо тот кто собирал заказ страдает дальтонизмом, либо кто другой, но если этот ярко розовый поросячий цвет бежево-розовый, то, наверное, у меня плохое зрение. Цвет ничего общего с фото не имеет",Отказались
2047,183948489,Подарочный набор бокалов с надписью,Виктория,1,"15 марта, 18:39",Ничего,"Спасибо большое, подарок испорчен, заказывала два бокала а пришёл один",Отказ,Отказались
9009,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Покупатель Wildberries,1,"Вчера, 03:42",Цена прям вау и масло просто шикарное отмывает даже стойкий макияж всегда пользовалась микситом и не когда не жаловалась думаю заказать ещё и не раз,,,Выкупили
9167,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Олеся,1,"22 июня, 13:49",,масло воняет! Не приятный запах очень явный!,,Выкупили
8408,28923876,Блузка базовая,Покупатель Wildberries,1,"16 июня, 13:05",,Возврат,Возврат из-за брака,Отказались
6998,135895113,Блузка боди с длинным рукавом,Юлия,1,"07 сентября 2023, 09:15",,,"Пришла не та блузка. Грязная, поношенная. В возврате отказали .",
3436,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Оля,1,"22 июня, 12:51",,В каждой упаковке 1-2 пакета бракованные!,,Выкупили
12054,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Юлия,1,"17 марта, 08:29",,"Задержали на неделю почти доставку. Пришлось искать другой подарок в местных магазинах, от бокалов естественно отказ, уже просто не нужны, даже коробку открывать не стала. Подвели.",,Отказались
6721,135895113,Блузка боди с длинным рукавом,Елена,1,"23 февраля 2024, 08:05",,,Большемерит !!!,
6198,135895113,Блузка боди с длинным рукавом,Покупатель Wildberries,1,"15 июня, 18:12",Вообще не тот товар пришёл,,,Отказались
11730,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Александра Потапова,1,"28 апреля, 13:50",,,Один фужер был разбит,Отказались
10127,35778729,"Жиросжигатель для похудения капсулы, БАД",Наталья,1,"23 июня, 11:55",Вобще ни о чем,,"Вес не сбросила,даже ни на грамм....",Выкупили
6948,135895113,Блузка боди с длинным рукавом,Эльмира,1,"30 октября 2023, 20:37",,,Короткий,
563,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Карпунова Кристина,1,"30 мая, 10:01",Ято с джинсами запах гремучий пахучий размер огромный,,,Отказались
11315,35778729,"Жиросжигатель для похудения капсулы, БАД",Наталья,1,"22 июня, 16:08",,"Аппетит не снижает, вес не уходит",,Выкупили
4258,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Оксана,1,"07 мая, 06:39",,"Вакуум не держит , на утро вздутый пакет с воздухом 🤢 жаль потраченные деньги",,Выкупили
2075,183948489,Подарочный набор бокалов с надписью,Елена,1,"14 марта, 17:59",,,"Если бы доставка была вовремя, как было заявлено, то забрали бы, а так как задержали доставку отказ",Отказались
3682,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Рукият,1,"06 июня, 22:20",,,"Почему насоса не было. Не рекомендую продавца,",Отказались
5615,142199442,Емкость для сыпучих продуктов баночки c наклейками,Елена,1,"08 апреля, 09:44","Из 12 баночек целых 9, 3 разбиты, осколки приклеить к упаковке, пока открывала, порезала руку.",,,Отказались
7059,135895113,Блузка боди с длинным рукавом,Ирина,1,"30 мая 2023, 10:46",,,Не соответствует действительности,
9589,35778729,"Жиросжигатель для похудения капсулы, БАД",Зоя,1,"Сегодня, 16:55 • Дополнен",,,"Пропила, толку ноль, вообще без изменений.",Выкупили
10448,35778729,"Жиросжигатель для похудения капсулы, БАД",Татьяна,1,"22 июня, 09:51",Стевия,Все,"Подделка, обычная стевия",Выкупили
1537,183948489,Подарочный набор бокалов с надписью,Таня,1,"29 мая, 19:37",,Прислали абсолютно другой товар. С одним бокалом. Оформили возврат,,Отказались
4649,160599645,Весы напольные электронные с приложением для дома 180 кг,Екатерина,1,"23 июня, 21:26","После покупки 12 марта все работало прекрасно в течении месяца, потом весы просто отключились, думали что батарейки не работают. Забросили весы, сегодня купили батарейки и поняли что дело совсем не в них. Сначала показывает 1 вес, потом другой. При прикасании уже показывает какой-то","Бесполезная трата денег, лучше добавить в сумме и купить нормальные весы, нежели это барахло",,Выкупили
11690,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Наталья,1,"06 мая, 20:43",,"Бокалы пришли битые. Очень разочарована, брала на подарок. Хотела написать возврат на брак . их почему то нет в списке покупок",,Отказались
10604,35778729,"Жиросжигатель для похудения капсулы, БАД",Светлана,1,"Сегодня, 13:39",,Не помогает,,Выкупили
6865,135895113,Блузка боди с длинным рукавом,Ирина,1,"15 декабря 2023, 14:55",,,"Качество ужасное, на размпр xxl еле дотягивается до грвди",
9580,35778729,"Жиросжигатель для похудения капсулы, БАД",Покупатель Wildberries,1,"Сегодня, 18:59",,Без эффекта,,Выкупили
9583,35778729,"Жиросжигатель для похудения капсулы, БАД",Алёна,1,"Сегодня, 18:07",,"Первый раз заказываю что-то подобное. Пью уже пару недель и это просто жесть.. появился бешенный аппетит, раньше такого никогда не было, рацион не меняла, образ жизни тоже. Пила в день по две таблетки: утром и вечером.",,Выкупили
1338,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Лариса,1,"20 июня, 03:52",,Пришли с браком,"Вся упаковка с браком,4 месяца на данных подгузниках, с таким сталкиваюсь впервые, резинка на огранечителе не до конча прострочена,каждый памперс протекает",Выкупили
12424,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Покупатель Wildberries,1,"06 марта, 06:20",Бокалы класс .Пришлось отказаться (((,Пришли разбитые. Очень расстроилась . Брала на подарок,,Отказались
1283,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Покупатель Wildberries,1,"20 июня, 17:52",,"Предыдущий размер 6-11кг. были просто суперрр, заказывала их долго, пока малы не стали, не протекали, не сбивались, но эти просто ужас, даже на два часа не хватило, сливаются.",,Выкупили
3427,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Покупатель Wildberries,1,"22 июня, 22:00",Воздух выхх,П,,Выкупили
1849,183948489,Подарочный набор бокалов с надписью,Ирина,1,"31 марта, 13:25",,Разбиты бокалы😞,,Отказались
1305,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Покупатель Wildberries,1,"20 июня, 14:30 • Дополнен",,,"подгузники натирают, 10часов точно не выдерживают, за первую ночь использования кровать была мокрая, это 4 фирма подгузников которые я купила и только они оставляют на попе восполения и сильные пятна на животе и ногах",Выкупили
715,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Денис,1,"Сегодня, 21:50",,,"Трусики всегда заказывали эти, в этот раз пришли бракованные, сбоку рвуться по шву, не надеть на ребенка. Очень обидно, пачка памперсов в мусорку.",Выкупили
9627,35778729,"Жиросжигатель для похудения капсулы, БАД",Вероника,1,"Сегодня, 15:40",,,"Отеки, аллергия",Выкупили
5811,142199442,Емкость для сыпучих продуктов баночки c наклейками,Света,1,"19 марта, 12:20","Баночки очень хорошие но одна была разбитая вдребезги но думаю перезакажу, может лучше упакуете",,,Отказались
2219,183948489,Подарочный набор бокалов с надписью,Юлия,1,"09 марта, 11:30",,,"Не упаковывают как положено , какой раз у покупателей приходят разбитые ножки . Почему бы хотя б ножки не завернуть в пупырчатую пленку !!!",Отказались
3479,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Анна,1,"19 июня, 18:28",,,"Пропускают воздух через один, невыгодная покупка, деньги на ветер",Выкупили
221,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Анна,1,"15 июня, 23:04",Вообще не соответствует размеру,,,Вернули
7504,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Ксения,1,"21 июня, 16:52",Пахнет конечно вкусно . Но всё разбито,Пришло разбитое,Пришло разбитое. Нужно на упаковке указывать что в нутри стекло,Выкупили
10016,35778729,"Жиросжигатель для похудения капсулы, БАД",Загра,1,"23 июня, 17:11",Не действует.,,,Выкупили
11641,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Маргарита,1,"20 мая, 04:57",,,"Всё отлично, рекомендую!",Выкупили
8905,28923876,Блузка базовая,Покупатель Wildberries,1,"18 мая, 09:00",,Не соответствует размеру,,Отказались
12307,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Ольга,1,"08 марта, 08:51",Ничего,Бокалы битые,,Отказались
10140,35778729,"Жиросжигатель для похудения капсулы, БАД",Надежда,1,"23 июня, 11:03",,,Ноль результата. Зря надеялась.,Выкупили
9577,35778729,"Жиросжигатель для похудения капсулы, БАД",Людмила,1,"Сегодня, 19:49",,,"""Ноль"" , если учесть что я 3-4 раза в неделю хожу на тренировки, каждый день прохожу по 5 км., правильно питаюсь, после приема никаких сдвигов в сторону ""-"" не было.....",Выкупили
752,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Николай,1,"Сегодня, 18:23",,Протекают маломерят,,Отказались
1224,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Марианна,1,"21 июня, 10:08",,Протекают.,,Выкупили
7674,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Екатерина,1,"19 июня, 18:11",,,"Заказала сироп, у продавца стоит предоплата, деньги списались, товар не пришёл, деньги не вернулись.",Выкупили
11962,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Надежда,1,"22 марта, 15:10","Бокалы очень хорошие,беру не первый раз.Но к сожалению заказ пришёл в разбитом виде(((",,,Отказались
1904,183948489,Подарочный набор бокалов с надписью,Светлана,1,"24 марта, 11:42",,Пришли разбитые,Обидно в подарок было заказано,Отказались
3429,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Наталья,1,"22 июня, 17:30 • Дополнен",,,Насос работает хуже чем ручной🤔(больше качаем ручным☝,Выкупили
9470,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Покупатель Wildberries,1,"17 июня, 07:47",,Не то что я покупала в магазинах,,Выкупили
2159,183948489,Подарочный набор бокалов с надписью,Кристина,1,"11 марта, 12:37",,Пришло все разбитое,Не понимаю как так доставляют,Отказались
3073,3932186,Мультибокс для овощерезки «Практика»,Юлия,1,"31 января, 17:06",,"Очень неудобная в использовании, слишком маленькие ячейки.",,Выкупили
6845,135895113,Блузка боди с длинным рукавом,Светлана,1,"24 декабря 2023, 15:00",,,Не соответствует фотографии,
5981,142199442,Емкость для сыпучих продуктов баночки c наклейками,Ольга,1,"03 марта, 10:52",Все отлично,,,Выкупили
363,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Елена,1,"07 июня, 16:06",,"Постирала в первый же день, т.к. воняли жутко. После стирки запах остался, решила перестирать. Это вода после 6 полосканий! Из чего они сделаны???!!!",,Выкупили
9642,35778729,"Жиросжигатель для похудения капсулы, БАД",Уржумова Нина Владимировна,1,"Сегодня, 13:57",,Не помогает,,Выкупили
2222,183948489,Подарочный набор бокалов с надписью,марина,1,"09 марта, 09:50",,После первого применения стерлись буквы,Интересно почему об этом никто не пишет,Выкупили
2761,3932186,Мультибокс для овощерезки «Практика»,Аркадий,1,"21 марта, 19:13",Просто оказался не удел. В чашку удобнее натирать.,,,Выкупили
7630,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Лидия Забелина,1,"20 июня, 10:51",,"Пришел разбитый, на пвз спросили буду ли забирать, я сказала нет, зачем мне разбитый товар, на что сказали, что деньги все равно не отдадут. Оставила на пвз, а сотрудник не поставил отказ, товар считается в доставках. Просто подарила деньги.",,Выкупили
6083,142199442,Емкость для сыпучих продуктов баночки c наклейками,Ирина,1,"20 февраля, 21:24",,"Изнутри баночки был скол, брак. Фотографировали на ПВЗ. Многие крышки были поцарапаны",,Отказались
2206,183948489,Подарочный набор бокалов с надписью,Наталья,1,"09 марта, 19:49",Пришли разбитые(,,,Отказались
6768,135895113,Блузка боди с длинным рукавом,Ольга,1,"05 февраля 2024, 15:29",,,Маломерит,
4168,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Покупатель Wildberries,1,"12 мая, 19:25 • Дополнен",,,"Остальные пакеты не держат, пролежали три часа и надулись!",Выкупили
10811,35778729,"Жиросжигатель для похудения капсулы, БАД",Наталья,1,"Вчера, 14:40",Пустышка...  Вообще не помог (((,,,Выкупили
7003,135895113,Блузка боди с длинным рукавом,Снежана,1,"27 августа 2023, 22:45",,,"Выглядит очень дёшево, отказ.",
12347,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Кристина,1,"07 марта, 11:37",,Один стакан был разбит,,Выкупили
1699,183948489,Подарочный набор бокалов с надписью,Ольга,1,"25 апреля, 12:06",Пришли разбитые,,,Отказались
7430,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Первани,1,"22 июня, 13:04",,Ужасно кислый никто не полюбил в аесье этот вкус,,Выкупили
9301,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Ксения,1,"20 июня, 06:01",,"Разбавлено водой, осень жидкое масло.","Ставлю одну звезду за то, что упаковка была всерыта ранее, но достав бутылочку обнаружила, что масло не отлито.
При умывании поняла, что масло сильно жидкое, смыла макияж с 6 раза.
До этого брала такое же масло с манго, всё было супер.",Выкупили
6416,135895113,Блузка боди с длинным рукавом,Лилия,1,"10 декабря 2024, 07:40",Не увидела,"Заказала разные размеры (48,50,52,54). Пришло два 48. При этом один 48 большой, а второй размером на подростка. Третий размер xxl тоже как на подростка. А 54 размер очень большой. Бирки прикрепляют не глядя. Даже фотографировать не стала. Отказ",,Отказались
7032,135895113,Блузка боди с длинным рукавом,Юлия,1,"27 июля 2023, 12:29",,,"вообще не соответствует размеру. ткань не тянется, цена не соответствует качеству..",
4061,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Оля,1,"18 мая, 09:41",,"Вздуваются почему-то,  уже сколько раз  пытались вакуумировать🤔🤔🤔",,Выкупили
1316,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Николай,1,"20 июня, 12:35",,Очень долгая доставка,,Выкупили
8100,10147914,Офисная базовая блузка,Тамара,1,"Вчера, 10:25",,,"Вместо оранжевый, персиковый пришла пастельно-розовый. Отказ",Отказались
6673,135895113,Блузка боди с длинным рукавом,Ирина,1,"16 марта 2024, 17:04",,,"ткань  синтетика,  ***",
6514,135895113,Блузка боди с длинным рукавом,Оксана,1,"22 октября 2024, 20:07",Кустарная дешевка,Неприятный материал с таким же заппхом. Никакой индивидуальной упаковки и нашивок производителя.,,Отказались
11507,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Марина,1,"16 июня, 21:45",,Заказывала в подарок к определенному числу. Доставку задержали на 2 дня.,,Выкупили
3426,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Покупатель Wildberries,1,"22 июня, 23:14","Хорошая защита от пыли , посторонних запахов.",Два пакета пропускают воздух,"Два пакета пропускают воздух ,а три пакета идеально выполняют свою функцию.Советую пользоваться, очень экономят место и главное не пыляться.",Выкупили
1851,183948489,Подарочный набор бокалов с надписью,Татьяна,1,"30 марта, 20:28",Бокалы прикольные и оригинальные. Брала на подарок. Один пришел с разбитой ножкой. И упаковка вся мятая. Очень жаль. Поэтому возврат,,,Отказались
11825,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Покупатель Wildberries,1,"10 апреля, 16:31",,Пришли разбитые бокалы,,Отказались
6589,135895113,Блузка боди с длинным рукавом,Екатерина,1,"15 июля 2024, 09:50",,,"На рост 175 оскащаося коротки, линия груди высокая, ляпеи доя застегивая даже не сходятся",
6857,135895113,Блузка боди с длинным рукавом,Полина,1,"18 декабря 2023, 14:36",,,не оч,
9791,35778729,"Жиросжигатель для похудения капсулы, БАД",Татьяна,1,"Вчера, 21:07",,Не сбросила вес даже 200гр.,,Выкупили
1004,205498718,Подгузники для новорожденных COMFORT CARE NB до 5кг 102шт,Александра,1,"23 июня, 13:53",,"Не понравилась посадка, на 9 кг., впритык, мокрые внутри спустя 2,5 часа ношения",,Выкупили
2024,183948489,Подарочный набор бокалов с надписью,Светлана,1,"16 марта, 18:34",,Один бокал разбит,"Можно как-то по-лучше упаковывать? Очень обидно, брала на подарок, а бокал разбит.",Отказались
10750,35778729,"Жиросжигатель для похудения капсулы, БАД",Татьяна,1,"Вчера, 21:07",,Не сбросила вес даже 200гр.,,Выкупили
4015,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Мери,1,"20 мая, 17:26",Бракованые приходят,,,Выкупили
6772,135895113,Блузка боди с длинным рукавом,Вера,1,"02 февраля 2024, 01:04",,,"Сшито не по нормальным лекалам как будто. Вырез не там, где он должен быть- стремится упозти на плечи",
9075,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Дзанат,1,"24 июня, 01:28",,"Не думаю, что это масло подойдет жирной, склонной к акне коже
Может закупорить поры
За 10 дней меня обсыпало постепенно новыми прыщами,но поняла, что это от масла, только сейчас",,Выкупили
9776,35778729,"Жиросжигатель для похудения капсулы, БАД",Юлия,1,"Вчера, 22:23",Быстро пришло,На второй день поднялся неконтролируемый аппетит.короче только набрала лишнее(((,Не рекомендую,Выкупили
7033,135895113,Блузка боди с длинным рукавом,Анастасия,1,"22 июля 2023, 15:30",,,"пришёл вообще не тот который я заказала, пришло какое то боди в сетку, которого тут даже в продаже нет",
2157,183948489,Подарочный набор бокалов с надписью,Владислав,1,"11 марта, 13:35 • Дополнен",,,Разбитый бокал один пришел,
9334,31299196,Гидрофильное гель масло для умывания и снятия макияжа,Асия,1,"19 июня, 14:28","Использовала для умывания, появились прыщи.",,,Выкупили
1691,183948489,Подарочный набор бокалов с надписью,Александра Потапова,1,"28 апреля, 13:50",,,Один фужер был разбит,Отказались
4977,160599645,Весы напольные электронные с приложением для дома 180 кг,Покупатель Wildberries,1,"22 июня, 00:20",Весы умные. Очень понравились ! Действительно умные 👌,,,Выкупили
2744,3932186,Мультибокс для овощерезки «Практика»,Сания,1,"25 марта, 04:56",,"Не советую продовца , есть на ручках заломы чуть треснувшие, со временем может легко сломатся , продавец не одобрил возврат, считает что это цвет такой🤦🏻‍♀️До этого покупала такой же судак ,в другом месте там не было ничего подобного.",,Вернули
3457,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Анна,1,"20 июня, 19:36",,Не рабочий товар. Не держит долго. Не советую.,,Выкупили
2268,183948489,Подарочный набор бокалов с надписью,Ольга,1,"08 марта, 08:51",Ничего,Бокалы битые,,Отказались
6786,135895113,Блузка боди с длинным рукавом,Людмила,1,"23 января 2024, 23:01",,,Отказ,
8821,28923876,Блузка базовая,Татьяна,1,"25 мая, 12:22",,,"Смотрится не как на фото, отказ в пользу другой футболки",Отказались
497,314706859,Джинсы зауженные скинни с высокой посадкой стрейч,Валерия,1,"01 июня, 19:16",,"Неверный размер, я 175 ростом, но почему то на мне гэбыли гармошкой",,Отказались
10642,35778729,"Жиросжигатель для похудения капсулы, БАД",Мария Владимировна,1,"Сегодня, 10:39",Ни чего не понравилось,,Ни о чем,Выкупили
11813,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Виктория,1,"11 апреля, 15:35",,,"Мало того,что хоупкий товар никак не упаковали внутри ,так еще и один бокал со сломанной ножкой ,а вовщрат еслм и одобрят , то в течении 10 дней и больше , человек без подарка ,перевозка может и от вб , по упаковка товара такая безолаберная - косяк продавца,жду одобрения на заявку ,тначе я буду обращаться в роспотребнадзор,я деньги не печатаю покупать битый товар",Вернули
4292,179111724,Вакуумные пакеты для одежды и вещей набор 5 штук,Федорова,1,"05 мая, 16:35",,"Совсем не держат ,завакуумировала вещи ,на завтра все вздулись ,не очень хорошие мешки ,разочарование .",,Выкупили
10737,35778729,"Жиросжигатель для похудения капсулы, БАД",Покупатель Wildberries,1,"Вчера, 22:22",,Не помогают,,Выкупили
8485,28923876,Блузка базовая,Ирина,1,"13 июня, 08:16",Блузка хорошая,Приехал не тот цвет. Поэтому отказ,,Отказались
1937,183948489,Подарочный набор бокалов с надписью,Кристина,1,"21 марта, 11:24",,Пришло разбито,,Отказались
12196,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Владислав,1,"11 марта, 13:35 • Дополнен",,,Разбитый бокал один пришел,
7530,9670349,Сироп Клубника для коктейлей и лимонадов 1л,Ольга,1,"21 июня, 12:15",Вся бутылка в сиропе!!!  Нет этикетки со сроком годности  и составом !  Даже пробовать страшно!!!!,,,Выкупили
11595,135562201,Бокалы для вина 2 шт с надписью Лучшему учителю,Олеся,1,"26 мая, 15:52","Бокалы вроде неплохие, но один пришёл разбитый",,,Отказались
2127,183948489,Подарочный набор бокалов с надписью,Екатерина,1,"12 марта, 21:07",,Пришло сломаное,"Доставка задержалась на неделю так и пришло сломаный один бокал а бралось на подарок, это очень огорчило да ещё надеялась что к 8 марта придёт а праздник был испорчен 😭, плюс к этому нельзя сделать возврат после вскрытия",Выкупили
